eps_mode,variant,scope,signal_wide,allow_extended,eps_gate,core_mode,allow_entry_volume_gap,allow_without_volume_confirm,geometry_mode,allow_clear_geometry_failure,geometry_caution_hard_filter,freshness_mode,allow_freshness_missing,buy_point_mode,allow_below_candidate_buy_point,industry_cover,research_order,proximity_reorder,max_picks,rule_count
with_eps,skill_industry_eps_known,act,False,False,known,none,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,0
with_eps,signal_core_quality_eps_pass,sig,True,False,pass25,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,0
with_eps,clean_eps_pass_no_dry_no_geom_caution,act,False,False,pass25,none,False,False,geomclean,False,True,freshstrict,False,bpstrict,False,True,def,False,3,0
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,1,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,2,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,def,False,3,2
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,1,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,2,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_ind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,True,prox,True,3,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,def,False,1,2
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,def,False,2,2
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,def,False,3,1
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,prox,True,1,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,prox,True,2,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpstrict_geomreject_noind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpstrict,False,False,prox,True,3,2
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,def,False,1,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,def,False,2,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,def,False,3,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,prox,True,1,5
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,prox,True,2,5
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_ind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,True,prox,True,3,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,def,False,1,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,def,False,2,3
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,def,False,3,2
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,prox,True,1,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,prox,True,2,4
with_eps,sk_act_epsknown_corestrict_freshstrict_bpallow_geomreject_noind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshstrict,False,bpallow,True,False,prox,True,3,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,def,False,1,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,def,False,2,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,def,False,3,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,prox,True,1,5
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,prox,True,2,5
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_ind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,True,prox,True,3,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,def,False,1,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,def,False,2,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,def,False,3,2
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,prox,True,1,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,prox,True,2,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpstrict_geomreject_noind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpstrict,False,False,prox,True,3,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,def,False,1,5
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,def,False,2,5
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,def,False,3,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,prox,True,1,6
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_prox_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,prox,True,2,6
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_ind_prox_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,True,prox,True,3,5
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_noind_def_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,False,def,False,1,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_noind_def_top2,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,False,def,False,2,4
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_noind_def_top3,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,False,def,False,3,3
with_eps,sk_act_epsknown_corestrict_freshallow_bpallow_geomreject_noind_prox_top1,act,False,False,known,corestrict,False,False,geomreject,False,False,freshallow,True,bpallow,True,False,prox,True,1,5
